;;;;;;;;;;;;;;;;;;;;;4T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;7T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;4N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;7N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;4N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
37,5;;;;;;;;;;;;;;;;;;;;;7N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;NEF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Januar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Februar;;;;;;;;;;;;;;;;;;;;;;;;;;;;MŠrz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;April;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;August;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;September;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;November;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dezember;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Sa;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;So;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;Fr;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Mi;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mo;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Sa;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Do;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Di;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;So;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;Fr;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Mi;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mo;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Sa;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Do;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Do;Fr;Sa;So;Mo;Di;Mi;Di;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;01.;02.;03.;04.;05.;06.;07.;08.;09.;10.;11.;12.;13.;14.;15.;16.;17.;18.;19.;20.;21.;22.;23.;24.;25.;26.;27.;28.;29.;30.;31.;;;;;;;;;;
